Date,open,high,low,close,volume,adj close
2024-05-28 23:45:00,10.253,10.254,10.215,10.22,30937.07,1716940799999.0
2024-05-29 00:00:00,10.221,10.25,10.182,10.238,71171.29,1716941699999.0
2024-05-29 00:15:00,10.238,10.28,10.198,10.216,77584.2,1716942599999.0
2024-05-29 00:30:00,10.218,10.271,10.205,10.25,53916.23,1716943499999.0
2024-05-29 00:45:00,10.247,10.256,10.232,10.248,19896.14,1716944399999.0
2024-05-29 01:00:00,10.252,10.322,10.235,10.239,103034.46,1716945299999.0
2024-05-29 01:15:00,10.241,10.333,10.222,10.313,212635.8,1716946199999.0
2024-05-29 01:30:00,10.313,10.375,10.296,10.372,92985.76,1716947099999.0
2024-05-29 01:45:00,10.371,10.444,10.34,10.43,250840.3,1716947999999.0
2024-05-29 02:00:00,10.43,10.443,10.301,10.328,169834.16,1716948899999.0
2024-05-29 02:15:00,10.328,10.453,10.322,10.44,60860.41,1716949799999.0
2024-05-29 02:30:00,10.44,10.446,10.377,10.41,112643.78,1716950699999.0
2024-05-29 02:45:00,10.41,10.456,10.4,10.413,117810.7,1716951599999.0
2024-05-29 03:00:00,10.415,10.434,10.335,10.383,122942.96,1716952499999.0
2024-05-29 03:15:00,10.383,10.392,10.35,10.372,44568.73,1716953399999.0
2024-05-29 03:30:00,10.372,10.441,10.366,10.401,52602.78,1716954299999.0
2024-05-29 03:45:00,10.4,10.448,10.376,10.434,57896.05,1716955199999.0
2024-05-29 04:00:00,10.433,10.492,10.411,10.487,77048.67,1716956099999.0
2024-05-29 04:15:00,10.486,10.524,10.476,10.514,146355.17,1716956999999.0
2024-05-29 04:30:00,10.514,10.519,10.461,10.518,73368.77,1716957899999.0
2024-05-29 04:45:00,10.517,10.52,10.432,10.456,52596.59,1716958799999.0
2024-05-29 05:00:00,10.456,10.503,10.382,10.4,119591.72,1716959699999.0
2024-05-29 05:15:00,10.399,10.515,10.39,10.509,134687.79,1716960599999.0
2024-05-29 05:30:00,10.508,10.533,10.487,10.487,98254.66,1716961499999.0
2024-05-29 05:45:00,10.487,10.524,10.455,10.506,92266.86,1716962399999.0
2024-05-29 06:00:00,10.508,10.56,10.473,10.559,104616.68,1716963299999.0
2024-05-29 06:15:00,10.558,10.6,10.535,10.6,78420.18,1716964199999.0
2024-05-29 06:30:00,10.6,10.603,10.542,10.592,81750.9,1716965099999.0
2024-05-29 06:45:00,10.592,10.62,10.555,10.6,107270.51,1716965999999.0
2024-05-29 07:00:00,10.601,10.653,10.528,10.551,160199.13,1716966899999.0
2024-05-29 07:15:00,10.55,10.598,10.443,10.448,185488.82,1716967799999.0
2024-05-29 07:30:00,10.448,10.492,10.415,10.435,123250.3,1716968699999.0
2024-05-29 07:45:00,10.437,10.453,10.321,10.333,196073.75,1716969599999.0
2024-05-29 08:00:00,10.333,10.37,10.119,10.194,306772.55,1716970499999.0
2024-05-29 08:15:00,10.193,10.252,10.09,10.231,450925.98,1716971399999.0
2024-05-29 08:30:00,10.23,10.295,10.192,10.264,174319.88,1716972299999.0
2024-05-29 08:45:00,10.264,10.327,10.232,10.295,145827.21,1716973199999.0
2024-05-29 09:00:00,10.295,10.381,10.264,10.279,136372.56,1716974099999.0
2024-05-29 09:15:00,10.282,10.383,10.198,10.227,163727.9,1716974999999.0
2024-05-29 09:30:00,10.229,10.312,10.18,10.265,68842.68,1716975899999.0
2024-05-29 09:45:00,10.261,10.332,10.24,10.245,85365.44,1716976799999.0
2024-05-29 10:00:00,10.245,10.321,10.214,10.298,62884.41,1716977699999.0
2024-05-29 10:15:00,10.298,10.362,10.282,10.33,55489.51,1716978599999.0
2024-05-29 10:30:00,10.329,10.369,10.291,10.364,57104.45,1716979499999.0
2024-05-29 10:45:00,10.364,10.4,10.357,10.395,79406.45,1716980399999.0
2024-05-29 11:00:00,10.396,10.415,10.361,10.41,92258.28,1716981299999.0
2024-05-29 11:15:00,10.412,10.475,10.393,10.471,100681.72,1716982199999.0
2024-05-29 11:30:00,10.471,10.474,10.325,10.366,98120.44,1716983099999.0
2024-05-29 11:45:00,10.363,10.4,10.305,10.318,88806.44,1716983999999.0
2024-05-29 12:00:00,10.318,10.41,10.307,10.41,55521.7,1716984899999.0
2024-05-29 12:15:00,10.41,10.448,10.318,10.37,81626.42,1716985799999.0
2024-05-29 12:30:00,10.37,10.381,10.246,10.281,117703.68,1716986699999.0
2024-05-29 12:45:00,10.277,10.344,10.254,10.278,56626.32,1716987599999.0
2024-05-29 13:00:00,10.278,10.396,10.239,10.39,110948.1,1716988499999.0
2024-05-29 13:15:00,10.391,10.425,10.282,10.329,189654.2,1716989399999.0
2024-05-29 13:30:00,10.328,10.356,10.264,10.312,110019.82,1716990299999.0
2024-05-29 13:45:00,10.306,10.33,10.232,10.31,180141.94,1716991199999.0
2024-05-29 14:00:00,10.312,10.368,10.299,10.329,111724.17,1716992099999.0
2024-05-29 14:15:00,10.332,10.377,10.257,10.266,100423.34,1716992999999.0
2024-05-29 14:30:00,10.266,10.334,10.256,10.334,79595.63,1716993899999.0
2024-05-29 14:45:00,10.332,10.382,10.322,10.347,58197.91,1716994799999.0
2024-05-29 15:00:00,10.347,10.39,10.296,10.305,87897.59,1716995699999.0
2024-05-29 15:15:00,10.305,10.37,10.253,10.345,68985.36,1716996599999.0
2024-05-29 15:30:00,10.345,10.358,10.263,10.285,56767.03,1716997499999.0
2024-05-29 15:45:00,10.285,10.309,10.236,10.249,51266.69,1716998399999.0
2024-05-29 16:00:00,10.242,10.251,10.129,10.142,226981.62,1716999299999.0
2024-05-29 16:15:00,10.141,10.284,10.137,10.209,112707.52,1717000199999.0
2024-05-29 16:30:00,10.21,10.333,10.206,10.315,70146.61,1717001099999.0
2024-05-29 16:45:00,10.316,10.382,10.288,10.373,94378.08,1717001999999.0
2024-05-29 17:00:00,10.371,10.427,10.297,10.394,158476.62,1717002899999.0
2024-05-29 17:15:00,10.393,10.45,10.341,10.442,169471.36,1717003799999.0
2024-05-29 17:30:00,10.439,10.473,10.411,10.423,72444.0,1717004699999.0
2024-05-29 17:45:00,10.422,10.44,10.331,10.434,119673.9,1717005599999.0
2024-05-29 18:00:00,10.435,10.453,10.375,10.385,56818.32,1717006499999.0
2024-05-29 18:15:00,10.387,10.418,10.343,10.364,91810.66,1717007399999.0
2024-05-29 18:30:00,10.364,10.468,10.329,10.468,126555.47,1717008299999.0
2024-05-29 18:45:00,10.466,10.479,10.388,10.412,73904.51,1717009199999.0
2024-05-29 19:00:00,10.413,10.435,10.385,10.434,33866.27,1717010099999.0
2024-05-29 19:15:00,10.436,10.446,10.366,10.413,44208.77,1717010999999.0
2024-05-29 19:30:00,10.413,10.424,10.306,10.316,47075.88,1717011899999.0
2024-05-29 19:45:00,10.315,10.347,10.262,10.28,57173.69,1717012799999.0
2024-05-29 20:00:00,10.276,10.326,10.263,10.323,50794.8,1717013699999.0
2024-05-29 20:15:00,10.326,10.33,10.301,10.32,32992.64,1717014599999.0
2024-05-29 20:30:00,10.321,10.331,10.292,10.295,30887.34,1717015499999.0
2024-05-29 20:45:00,10.295,10.302,10.255,10.283,36946.8,1717016399999.0
2024-05-29 21:00:00,10.283,10.3,10.229,10.248,28615.3,1717017299999.0
2024-05-29 21:15:00,10.248,10.261,10.197,10.214,53067.09,1717018199999.0
2024-05-29 21:30:00,10.213,10.299,10.195,10.271,70943.53,1717019099999.0
2024-05-29 21:45:00,10.272,10.345,10.271,10.298,24343.46,1717019999999.0
2024-05-29 22:00:00,10.299,10.31,10.234,10.236,24009.51,1717020899999.0
2024-05-29 22:15:00,10.236,10.292,10.227,10.28,21038.87,1717021799999.0
2024-05-29 22:30:00,10.281,10.317,10.273,10.303,12121.75,1717022699999.0
2024-05-29 22:45:00,10.305,10.321,10.289,10.312,17243.09,1717023599999.0
2024-05-29 23:00:00,10.311,10.337,10.299,10.32,25612.38,1717024499999.0
2024-05-29 23:15:00,10.319,10.339,10.314,10.337,18672.18,1717025399999.0
2024-05-29 23:30:00,10.337,10.342,10.292,10.292,15533.98,1717026299999.0
2024-05-29 23:45:00,10.292,10.299,10.258,10.29,18255.16,1717027199999.0
2024-05-30 00:00:00,10.289,10.408,10.282,10.403,76478.59,1717028099999.0
2024-05-30 00:15:00,10.403,10.471,10.401,10.466,73879.1,1717028999999.0
2024-05-30 00:30:00,10.465,10.467,10.395,10.434,38583.71,1717029899999.0
2024-05-30 00:45:00,10.434,10.458,10.345,10.373,63701.29,1717030799999.0
2024-05-30 01:00:00,10.373,10.452,10.313,10.449,71832.41,1717031699999.0
2024-05-30 01:15:00,10.45,10.487,10.426,10.444,87582.13,1717032599999.0
2024-05-30 01:30:00,10.445,10.548,10.437,10.525,108962.04,1717033499999.0
2024-05-30 01:45:00,10.525,10.531,10.438,10.47,76144.94,1717034399999.0
2024-05-30 02:00:00,10.47,10.544,10.452,10.528,69598.93,1717035299999.0
2024-05-30 02:15:00,10.529,10.599,10.52,10.59,75319.93,1717036199999.0
2024-05-30 02:30:00,10.589,10.6,10.516,10.546,85283.16,1717037099999.0
2024-05-30 02:45:00,10.547,10.587,10.527,10.529,86267.76,1717037999999.0
2024-05-30 03:00:00,10.529,10.575,10.521,10.533,72971.31,1717038899999.0
2024-05-30 03:15:00,10.533,10.557,10.514,10.519,49031.66,1717039799999.0
2024-05-30 03:30:00,10.519,10.533,10.469,10.478,63458.15,1717040699999.0
2024-05-30 03:45:00,10.478,10.488,10.445,10.467,54450.47,1717041599999.0
2024-05-30 04:00:00,10.467,10.488,10.453,10.462,35800.98,1717042499999.0
2024-05-30 04:15:00,10.462,10.518,10.461,10.496,44508.77,1717043399999.0
2024-05-30 04:30:00,10.497,10.514,10.45,10.452,32845.05,1717044299999.0
2024-05-30 04:45:00,10.452,10.46,10.379,10.401,49763.43,1717045199999.0
2024-05-30 05:00:00,10.401,10.402,10.3,10.301,79219.0,1717046099999.0
2024-05-30 05:15:00,10.301,10.353,10.28,10.332,70500.85,1717046999999.0
2024-05-30 05:30:00,10.331,10.414,10.321,10.397,50189.09,1717047899999.0
2024-05-30 05:45:00,10.397,10.423,10.367,10.368,31016.81,1717048799999.0
2024-05-30 06:00:00,10.367,10.373,10.275,10.279,86279.12,1717049699999.0
2024-05-30 06:15:00,10.279,10.364,10.264,10.329,88541.81,1717050599999.0
2024-05-30 06:30:00,10.329,10.339,10.264,10.325,87296.76,1717051499999.0
2024-05-30 06:45:00,10.326,10.329,10.259,10.265,60926.06,1717052399999.0
2024-05-30 07:00:00,10.266,10.315,10.259,10.272,112280.03,1717053299999.0
2024-05-30 07:15:00,10.274,10.298,10.203,10.206,186326.23,1717054199999.0
2024-05-30 07:30:00,10.206,10.206,10.142,10.171,63155.58,1717055099999.0
2024-05-30 07:45:00,10.17,10.184,10.017,10.059,175276.82,1717055999999.0
2024-05-30 08:00:00,10.057,10.081,9.995,10.004,192479.18,1717056899999.0
2024-05-30 08:15:00,10.005,10.14,10.003,10.135,110966.11,1717057799999.0
2024-05-30 08:30:00,10.135,10.189,10.125,10.156,127426.41,1717058699999.0
2024-05-30 08:45:00,10.155,10.155,10.088,10.098,46371.68,1717059599999.0
2024-05-30 09:00:00,10.097,10.097,10.043,10.09,64922.87,1717060499999.0
2024-05-30 09:15:00,10.09,10.091,9.998,9.999,63164.25,1717061399999.0
2024-05-30 09:30:00,9.999,10.032,9.996,10.02,106943.67,1717062299999.0
2024-05-30 09:45:00,10.021,10.113,10.014,10.109,56188.87,1717063199999.0
2024-05-30 10:00:00,10.109,10.19,10.105,10.156,96592.98,1717064099999.0
2024-05-30 10:15:00,10.157,10.191,10.132,10.181,54633.75,1717064999999.0
2024-05-30 10:30:00,10.182,10.191,10.111,10.153,49574.27,1717065899999.0
2024-05-30 10:45:00,10.152,10.193,10.142,10.166,31086.48,1717066799999.0
2024-05-30 11:00:00,10.165,10.187,10.149,10.178,33275.22,1717067699999.0
2024-05-30 11:15:00,10.175,10.211,10.15,10.208,36289.3,1717068599999.0
2024-05-30 11:30:00,10.207,10.223,10.16,10.194,30360.02,1717069499999.0
2024-05-30 11:45:00,10.196,10.2,10.132,10.14,18961.61,1717070399999.0
2024-05-30 12:00:00,10.138,10.216,10.131,10.204,31029.26,1717071299999.0
2024-05-30 12:15:00,10.201,10.206,10.159,10.16,33580.23,1717072199999.0
2024-05-30 12:30:00,10.16,10.235,10.16,10.192,98911.71,1717073099999.0
2024-05-30 12:45:00,10.192,10.247,10.154,10.167,97638.91,1717073999999.0
2024-05-30 13:00:00,10.167,10.191,10.115,10.179,90231.43,1717074899999.0
2024-05-30 13:15:00,10.179,10.221,10.178,10.201,80863.15,1717075799999.0
2024-05-30 13:30:00,10.2,10.223,10.12,10.151,96560.34,1717076699999.0
2024-05-30 13:45:00,10.149,10.247,10.149,10.218,85215.31,1717077599999.0
2024-05-30 14:00:00,10.219,10.34,10.215,10.25,112010.47,1717078499999.0
2024-05-30 14:15:00,10.25,10.372,10.248,10.312,192522.54,1717079399999.0
2024-05-30 14:30:00,10.312,10.346,10.242,10.266,61150.94,1717080299999.0
2024-05-30 14:45:00,10.266,10.283,10.185,10.202,82210.71,1717081199999.0
2024-05-30 15:00:00,10.2,10.219,10.146,10.216,126240.39,1717082099999.0
2024-05-30 15:15:00,10.215,10.246,10.186,10.194,55789.3,1717082999999.0
2024-05-30 15:30:00,10.195,10.228,10.151,10.157,69341.09,1717083899999.0
2024-05-30 15:45:00,10.157,10.224,10.148,10.203,33031.58,1717084799999.0
2024-05-30 16:00:00,10.202,10.235,10.152,10.154,48011.86,1717085699999.0
2024-05-30 16:15:00,10.154,10.187,10.152,10.17,29914.97,1717086599999.0
2024-05-30 16:30:00,10.171,10.203,10.165,10.167,32462.64,1717087499999.0
2024-05-30 16:45:00,10.166,10.197,10.163,10.187,44074.24,1717088399999.0
2024-05-30 17:00:00,10.189,10.218,10.17,10.204,50499.74,1717089299999.0
2024-05-30 17:15:00,10.204,10.3,10.202,10.296,48795.85,1717090199999.0
2024-05-30 17:30:00,10.296,10.337,10.295,10.307,90363.01,1717091099999.0
2024-05-30 17:45:00,10.304,10.313,10.272,10.298,72598.65,1717091999999.0
2024-05-30 18:00:00,10.3,10.338,10.258,10.289,104692.27,1717092899999.0
2024-05-30 18:15:00,10.287,10.328,10.248,10.304,57462.28,1717093799999.0
2024-05-30 18:30:00,10.303,10.31,10.257,10.298,39312.88,1717094699999.0
2024-05-30 18:45:00,10.301,10.308,10.281,10.289,13027.43,1717095599999.0
2024-05-30 19:00:00,10.288,10.306,10.274,10.278,50343.21,1717096499999.0
2024-05-30 19:15:00,10.277,10.278,10.216,10.225,51618.94,1717097399999.0
2024-05-30 19:30:00,10.226,10.263,10.182,10.204,105513.93,1717098299999.0
2024-05-30 19:45:00,10.204,10.23,10.154,10.17,94701.81,1717099199999.0
2024-05-30 20:00:00,10.17,10.172,10.054,10.071,145076.56,1717100099999.0
2024-05-30 20:15:00,10.069,10.158,10.038,10.156,96182.69,1717100999999.0
2024-05-30 20:30:00,10.156,10.163,10.12,10.154,40195.7,1717101899999.0
2024-05-30 20:45:00,10.15,10.158,10.099,10.111,32689.9,1717102799999.0
2024-05-30 21:00:00,10.107,10.128,10.074,10.076,101132.49,1717103699999.0
2024-05-30 21:15:00,10.076,10.136,10.07,10.136,60181.38,1717104599999.0
2024-05-30 21:30:00,10.136,10.164,10.119,10.132,27427.05,1717105499999.0
2024-05-30 21:45:00,10.131,10.132,10.102,10.103,8881.73,1717106399999.0
2024-05-30 22:00:00,10.102,10.106,10.071,10.095,44869.19,1717107299999.0
2024-05-30 22:15:00,10.092,10.102,10.08,10.096,30109.74,1717108199999.0
2024-05-30 22:30:00,10.091,10.101,10.078,10.086,20560.4,1717109099999.0
2024-05-30 22:45:00,10.085,10.118,10.083,10.092,28133.53,1717109999999.0
2024-05-30 23:00:00,10.091,10.098,9.985,9.999,591180.78,1717110899999.0
2024-05-30 23:15:00,9.997,10.019,9.986,9.999,256217.39,1717111799999.0
2024-05-30 23:30:00,9.999,10.018,9.989,10.008,57225.21,1717112699999.0
2024-05-30 23:45:00,10.007,10.043,10.001,10.028,67265.2,1717113599999.0
2024-05-31 00:00:00,10.027,10.033,10.0,10.012,146188.79,1717114499999.0
2024-05-31 00:15:00,10.012,10.049,9.974,9.979,88094.89,1717115399999.0
2024-05-31 00:30:00,9.978,10.014,9.965,9.986,92536.28,1717116299999.0
2024-05-31 00:45:00,9.987,10.032,9.974,10.023,66789.71,1717117199999.0
2024-05-31 01:00:00,10.024,10.083,10.002,10.078,72685.84,1717118099999.0
2024-05-31 01:15:00,10.082,10.082,9.99,10.023,82156.01,1717118999999.0
2024-05-31 01:30:00,10.022,10.06,10.011,10.011,20174.83,1717119899999.0
2024-05-31 01:45:00,10.012,10.023,9.981,10.005,24184.64,1717120799999.0
2024-05-31 02:00:00,10.002,10.055,9.993,10.052,33525.17,1717121699999.0
2024-05-31 02:15:00,10.052,10.085,10.021,10.04,48975.27,1717122599999.0
2024-05-31 02:30:00,10.04,10.045,10.02,10.043,4891.45,1717123499999.0
2024-05-31 02:45:00,10.044,10.046,10.005,10.018,24600.24,1717124399999.0
2024-05-31 03:00:00,10.018,10.034,9.999,10.03,18318.13,1717125299999.0
2024-05-31 03:15:00,10.03,10.055,10.025,10.036,14488.6,1717126199999.0
2024-05-31 03:30:00,10.035,10.079,10.026,10.066,46688.59,1717127099999.0
2024-05-31 03:45:00,10.067,10.074,10.043,10.044,20428.15,1717127999999.0
2024-05-31 04:00:00,10.048,10.085,10.048,10.072,13178.72,1717128899999.0
2024-05-31 04:15:00,10.075,10.104,10.071,10.073,18303.33,1717129799999.0
2024-05-31 04:30:00,10.073,10.074,10.039,10.069,25513.37,1717130699999.0
2024-05-31 04:45:00,10.069,10.079,10.037,10.064,47625.85,1717131599999.0
2024-05-31 05:00:00,10.064,10.072,10.026,10.037,36113.26,1717132499999.0
2024-05-31 05:15:00,10.036,10.036,9.953,10.015,127048.41,1717133399999.0
2024-05-31 05:30:00,10.015,10.018,9.968,10.004,53109.22,1717134299999.0
2024-05-31 05:45:00,10.001,10.045,9.997,10.035,55538.65,1717135199999.0
2024-05-31 06:00:00,10.036,10.071,10.029,10.045,26363.96,1717136099999.0
2024-05-31 06:15:00,10.048,10.11,10.048,10.11,48451.84,1717136999999.0
2024-05-31 06:30:00,10.11,10.111,10.051,10.078,104852.72,1717137899999.0
2024-05-31 06:45:00,10.077,10.082,9.994,10.025,52049.87,1717138799999.0
2024-05-31 07:00:00,10.025,10.05,10.016,10.025,61142.63,1717139699999.0
2024-05-31 07:15:00,10.025,10.07,10.015,10.057,32874.9,1717140599999.0
2024-05-31 07:30:00,10.057,10.062,10.014,10.017,36087.9,1717141499999.0
2024-05-31 07:45:00,10.017,10.051,10.002,10.044,54943.34,1717142399999.0
2024-05-31 08:00:00,10.044,10.066,10.03,10.065,25704.86,1717143299999.0
2024-05-31 08:15:00,10.061,10.08,10.038,10.045,36962.86,1717144199999.0
2024-05-31 08:30:00,10.044,10.061,10.022,10.055,11677.72,1717145099999.0
2024-05-31 08:45:00,10.045,10.05,10.026,10.026,21608.24,1717145999999.0
2024-05-31 09:00:00,10.027,10.029,10.009,10.022,19979.4,1717146899999.0
2024-05-31 09:15:00,10.021,10.021,9.972,10.007,35723.56,1717147799999.0
2024-05-31 09:30:00,10.006,10.067,10.0,10.055,56112.2,1717148699999.0
2024-05-31 09:45:00,10.054,10.06,10.037,10.049,16564.36,1717149599999.0
2024-05-31 10:00:00,10.049,10.102,10.04,10.094,61284.3,1717150499999.0
2024-05-31 10:15:00,10.096,10.099,10.058,10.088,40066.92,1717151399999.0
2024-05-31 10:30:00,10.088,10.164,10.068,10.156,99842.16,1717152299999.0
2024-05-31 10:45:00,10.155,10.155,10.107,10.145,51878.04,1717153199999.0
2024-05-31 11:00:00,10.147,10.178,10.137,10.171,41488.55,1717154099999.0
